"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (давление паров при 50 °C более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C не более 110 кПа)";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (имеющие температуру вспышки ниже 23 °C и вязкие) (температура кипения не более 35 °C)";"328";"групповая";"19";"нет";"READY";""
"1210";"КРАСКА ТИПОГРАФСКАЯ легковоспламеняющаяся или МАТЕРИАЛ, ИСПОЛЬЗУЕМЫЙ С ТИПОГРАФСКОЙ КРАСКОЙ (включая разбавитель или растворитель типографской краски), легковоспламеняющийся (невязкие)";"328";"групповая";"19";"нет";"READY";""
"1212";"ИЗОБУТАНОЛ (СПИРТ ИЗОБУТИЛОВЫЙ)";"316";"групповая";"55";"нет";"READY";""
"1213";"Изобутилацетат";"306";"групповая";"53";"нет";"READY";""
"1214";"Изобутиламин **";"311";"групповая";"25";"нет";"READY";""
"1216";"Изооктен";"305";"групповая";"36";"нет";"READY";""
