"UN";"Название";"Классификационный код"
"0092";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ";"1.3G"
"0093";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ";"1.3G"
"0094";"ПОРОХ ДЛЯ ПИРОТЕХНИЧЕСКИХ ИЗДЕЛИЙ";"1.1G"
"0101";"ВЗРЫВАТЕЛЬ НЕДЕТОНИРУЮЩИЙ";"1.3G"
"0102";"ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ в металлической оболочке";"1.2D"
"0103";"ЗАПАЛ трубчатый в металлической оболочке";"1.4G"
"0104";"ШНУР (ЗАПАЛ) ДЕТОНИРУЮЩИЙ СЛАБОГО ДЕЙСТВИЯ в металлической оболочке";"1.4D"
"0105";"ШНУР ОГНЕПРОВОДНЫЙ БЕЗОПАСНЫЙ";"1.4S"
"0106";"ТРУБКИ ДЕТОНАЦИОННЫЕ";"1.1B"
"0107";"ТРУБКИ ДЕТОНАЦИОННЫЕ";"1.2B"
"0110";"ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные";"1.4S"
"0113";"ГУАНИЛНИТРОЗОАМИНОГУАНИЛИДЕНГИДРАЗИН УВЛАЖНЕННЫЙ с массовой долей воды не менее 30%";"1.1A"
"0114";"ГУАНИЛНИТРОЗОАМИНОГУАНИЛТЕТРАЗЕН (ТЕТРАЗЕН) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 30%";"1.1A"
"0118";"ГЕКСОЛИТ (ГЕКСОТОЛ) сухой или увлажненный с массовой долей воды менее 15%";"1.1D"
"0121";"ВОСПЛАМЕНИТЕЛИ";"1.1G"
"0129";"СВИНЦА АЗИД УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%";"1.1A"
"0130";"СВИНЦА СТИФНАТ (СВИНЦА ТРИНИТРОРЕЗОРЦИНАТ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%";"1.1A"
"0131";"ВОСПЛАМЕНИТЕЛИ ОГНЕПРОВОДНОГО ШНУРА";"1.4S"
"0132";"СОЛИ МЕТАЛЛОВ ДЕФЛАГРИРУЮЩИЕ, НИТРОПРОИЗВОДНЫЕ АРОМАТИЧЕСКОГО РЯДА, Н.У.К.";"1.3C"
"0133";"МАННИТГЕКСАНИТРАТ (НИТРОМАННИТ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 40%";"1.1D"
"0135";"РТУТЬ ГРЕМУЧАЯ УВЛАЖНЕННАЯ с массовой долей воды или смеси спирта и воды не менее 20%";"1.1A"
"0136";"МИНЫ с разрывным зарядом";"1.1F"
"0137";"МИНЫ с разрывным зарядом";"1.1D"
"0138";"МИНЫ с разрывным зарядом";"1.2D"
"0143";"НИТРОГЛИЦЕРИН ДЕСЕНСИБИЛИЗИРОВАННЫЙ с массовой долей нелетучего и нерастворимого в воде флегматизатора не менее 40%";"1.1D"
"0144";"НИТРОГЛИЦЕРИНА СПИРТОВОЙ РАСТВОР с массовой долей нитроглицерина более 1%, но не более 10%";"1.1D"
"0146";"НИТРОКРАХМАЛ сухой или увлажненный с массовой долей воды менее 20%";"1.1D"
"0147";"НИТРОМОЧЕВИНА";"1.1D"
"0150";"ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРИТОЛ ТЕТРАНИТРАТ; ПЭТН) УВЛАЖНЕННЫЙ с массовой долей воды не менее 25%";"1.1D"
"0150";"ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРИТОЛ ТЕТРАНИТРАТ; ПЭТН) ДЕСЕНСИБИЛИЗИРОВАННЫЙ с массовой долей флегматизатора не менее 15%";"1.1D"
"0151";"ПЕНТОЛИТ сухой или увлажнен-ный с массовой долей воды менее 15%";"1.1D"
"0153";"ТРИНИТРОАНИЛИН (ПИКРАМИД)";"1.1D"
"0154";"ТРИНИТРОФЕНОЛ (КИСЛОТА ПИКРИНОВАЯ) сухой или увлажненный с массовой долей воды менее 30%";"1.1D"
"0155";"ТРИНИТРОХЛОРБЕНЗОЛ (ПИКРИЛХЛОРИД)";"1.1D"
"0159";"ПОРОХ В БРИКЕТАХ (ПАСТА ПОРОХОВАЯ) УВЛАЖНЕННЫЙ с массовой долей воды не менее 25%";"1.3C"
"0160";"ПОРОХ БЕЗДЫМНЫЙ";"1.1C"
"0167";"СНАРЯДЫ с разрывным зарядом";"1.1F"
"0168";"СНАРЯДЫ с разрывным зарядом";"1.1D"
"0169";"СНАРЯДЫ с разрывным зарядом";"1.2D"
"0171";"БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом";"1.2G"
"0173";"УСТРОЙСТВА РАСЦЕПЛЕНИЯ ВЗРЫВЧАТЫЕ";"1.4S"
"0174";"ЗАКЛЕПКИ ВЗРЫВЧАТЫЕ";"1.4S"
"0180";"РАКЕТЫ с разрывным зарядом";"1.1F"
"0181";"РАКЕТЫ с разрывным зарядом";"1.1E"
"0182";"РАКЕТЫ с разрывным зарядом";"1.2E"
"0183";"РАКЕТЫ с инертной головкой";"1.3C"
"0186";"ДВИГАТЕЛИ РАКЕТНЫЕ";"1.3C"
"0190";"ВЗРЫВЧАТЫХ ВЕЩЕСТВ ОБРАЗЦЫ, кроме инициирующих ВВ";""
"0191";"УСТРОЙСТВА СИГНАЛЬНЫЕ РУЧНЫЕ";"1.4G"
"0192";"ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ";"1.1G"
"0193";"ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ";"1.4S"
"0194";"СИГНАЛЫ БЕДСТВИЯ судовые";"1.1G"
"0195";"СИГНАЛЫ БЕДСТВИЯ судовые";"1.3G"
"0196";"СИГНАЛЫ ДЫМОВЫЕ";"1.1G"
"0197";"СИГНАЛЫ ДЫМОВЫЕ";"1.4G"
"0204";"СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ";"1.2F"
"0207";"ТЕТРАНИТРОАНИЛИН";"1.1D"
"0208";"ТРИНИТРОФЕНИЛМЕТИЛНИТРАМИН (ТЕТРИЛ)";"1.1D"
"0209";"ТРИНИТРОТОЛУОЛ (ТНТ) сухой или увлажненный с массовой долей воды менее 30%";"1.1D"
"0212";"ТРАССЕРЫ ДЛЯ БОЕПРИПАСОВ";"1.3G"
"0213";"ТРИНИТРОАНИЗОЛ";"1.1D"
"0214";"ТРИНИТРОБЕНЗОЛ сухой или увлажненный с массовой долей воды менее 30%";"1.1D"
"0215";"КИСЛОТА ТРИНИТРОБЕНЗОЙНАЯ сухая или увлажненная с массовой долей воды менее 30%";"1.1D"
"0216";"ТРИНИТРО-м-КРЕЗОЛ";"1.1D"
"0217";"ТРИНИТРОНАФТАЛИН";"1.1D"
"0218";"ТРИНИТРОФЕНЕТОЛ";"1.1D"
"0219";"ТРИНИТРОРЕЗОРЦИН (КИСЛОТА СТИФНИНОВАЯ) сухой или увлажненный с массовой долей воды или смеси спирта и воды менее 20%";"1.1D"
"0220";"МОЧЕВИНЫ НИТРАТ сухой или увлажненный с массовой долей воды менее 20%";"1.1D"
"0221";"БОЕГОЛОВКИ ТОРПЕД с разрывным зарядом";"1.1D"
"0222";"АММОНИЯ НИТРАТ";"1.1D"
"0224";"БАРИЯ АЗИД сухой или увлаж-ненный с массовой долей воды менее 50%";"1.1A"
"0225";"ДЕТОНАТОРЫ ВТОРИЧНЫЕ С ПЕРВИЧНЫМ ДЕТОНАТОРОМ";"1.1B"
"0226";"ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИН (НМХ; ОКТОГЕН) УВЛАЖНЕННЫЙ с массовой долей воды не менее 15%";"1.1D"
"0234";"НАТРИЯ ДИНИТРО-о-КРЕЗОЛЯТ сухой или увлажненный с массовой долей воды менее 15%";"1.3C"
"0235";"НАТРИЯ ПИКРАМАТ сухой или увлажненный с массовой долей воды менее 20%";"1.3C"
"0236";"ЦИРКОНИЯ ПИКРАМАТ сухой или увлажненный с массовой долей воды менее 20%";"1.3C"
"0237";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ ГИБКИЕ УДЛИНЕННЫЕ";"1.4D"
"0238";"РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ";"1.2G"
"0240";"РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ";"1.3G"
"0241";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП Е";"1.1D"
"0242";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ";"1.3C"
"0243";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом";"1.2H"
"0244";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом";"1.3H"
"0245";"БОЕПРИПАСЫ ДЫМОВЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом";"1.2H"
"0246";"БОЕПРИПАСЫ ДЫМОВЫЕ С БЕЛЫМ ФОСФОРОМ с разрывным, вышибным или метательным зарядом";"1.3H"
"0247";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные жидкостью или гелем, с разрывным, вышибным или метательным зарядом";"1.3J"
"0248";"УСТРОЙСТВА ВОДОАКТИВИРУЕМЫЕ с разрывным, вышибным или метательным зарядом";"1.2L"
"0249";"УСТРОЙСТВА ВОДОАКТИВИРУЕМЫЕ с разрывным, вышибным или метательным зарядом";"1.3L"
"0250";"ДВИГАТЕЛИ РАКЕТНЫЕ С ГИПЕРГОЛИЧЕСКОЙ ЖИДКОСТЬЮ с вышибным зарядом или без него";"1.3L"
"0254";"БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаряженные разрывным, вышибным или метательным зарядом";"1.3G"
"0255";"ДЕТОНАТОРЫ ЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.4B"
"0257";"ТРУБКИ ДЕТОНАЦИОННЫЕ";"1.4B"
"0266";"ОКТОЛИТ (ОКТОЛ) сухой или увлажненный с массовой долей воды менее 15%";"1.1D"
"0267";"ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.4B"
"0268";"ДЕТОНАТОРЫ ВТОРИЧНЫЕ С ПЕРВИЧНЫМ ДЕТОНАТОРОМ";"1.2B"
"0271";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ";"1.1C"
"0272";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ";"1.3C"
"0275";"ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ";"1.3C"
"0276";"ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ";"1.4C"
"0277";"ПАТРОНЫ ДЛЯ НЕФТЕСКВАЖИН";"1.3C"
"0279";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ";"1.1C"
"0280";"ДВИГАТЕЛИ РАКЕТНЫЕ";"1.1C"
"0281";"ДВИГАТЕЛИ РАКЕТНЫЕ";"1.2C"
"0282";"НИТРОГУАНИДИН (ПИКРИТ) сухой или увлажненный с массовой долей воды менее 20%";"1.1D"
"0283";"ДЕТОНАТОРЫ ВТОРИЧНЫЕ без первичного детонатора";"1.2D"
"0284";"ГРАНАТЫ ручные или ружейные с разрывным зарядом";"1.1D"
"0285";"ГРАНАТЫ ручные или ружейные с разрывным зарядом";"1.2D"
"0286";"БОЕГОЛОВКИ РАКЕТ с разрывным зарядом";"1.1D"
"0287";"БОЕГОЛОВКИ РАКЕТ с разрывным зарядом";"1.2D"
"0288";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ ГИБКИЕ УДЛИНЕННЫЕ";"1.1D"
"0289";"ШНУР ДЕТОНИРУЮЩИЙ гибкий";"1.4D"
"0291";"БОМБЫ с разрывным зарядом";"1.2F"
"0292";"ГРАНАТЫ ручные или ружейные с разрывным зарядом";"1.1F"
"0293";"ГРАНАТЫ ручные или ружейные с разрывным зарядом";"1.2F"
"0294";"МИНЫ С РАЗРЫВНЫМ ЗАРЯДОМ";"1.2F"
"0295";"РАКЕТЫ с разрывным зарядом";"1.2F"
"0296";"СИГНАЛЫ ЗВУКОВЫЕ ВЗРЫВЧАТЫЕ";"1.1F"
"0297";"БОЕПРИПАСЫ ОСВЕТИТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом";"1.4G"
"0299";"ФОТОАВИАБОМБЫ";"1.3G"
"0300";"БОЕПРИПАСЫ ЗАЖИГАТЕЛЬНЫЕ, снаряженные или не снаря-женные разрывным, вышибным или метательным зарядом";"1.4G"
"0301";"БОЕПРИПАСЫ СЛЕЗОТОЧИВЫЕ с разрывным, вышибным или метательным зарядом";"1.4G"
"0303";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом";"1.4G"
"0303";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом, содержащие коррозионные вещества";"1.4G"
"0303";"БОЕПРИПАСЫ ДЫМОВЫЕ, снаряженные или не снаряженные разрывным, вышибным или мета-тельным зарядом, содержащие токсичные при вдыхании вещества";"1.4G"
"0305";"ПОРОХ ДЛЯ ПИРОТЕХНИЧЕСКИХ ИЗДЕЛИЙ";"1.3G"
"0306";"ТРАССЕРЫ ДЛЯ БОЕПРИПАСОВ";"1.4G"
"0312";"ПАТРОНЫ СИГНАЛЬНЫЕ";"1.4G"
"0313";"СИГНАЛЫ ДЫМОВЫЕ";"1.2G"
"0314";"ВОСПЛАМЕНИТЕЛИ";"1.2G"
"0315";"ВОСПЛАМЕНИТЕЛИ";"1.3G"
"0316";"ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ";"1.3G"
"0317";"ТРУБКИ ЗАЖИГАТЕЛЬНЫЕ";"1.4G"
"0318";"ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные";"1.3G"
"0319";"ВТУЛКИ КАПСЮЛЬНЫЕ";"1.3G"
"0320";"ВТУЛКИ КАПСЮЛЬНЫЕ";"1.4G"
"0321";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.2E"
"0322";"ДВИГАТЕЛИ РАКЕТНЫЕ С ГИПЕРГОЛИЧЕСКОЙ ЖИДКОСТЬЮ с вышибным зарядом или без него";"1.2L"
"0323";"ПАТРОНЫ ДЛЯ ЗАПУСКА МЕХАНИЗМОВ";"1.4S"
"0324";"СНАРЯДЫ с разрывным зарядом";"1.2F"
"0325";"ВОСПЛАМЕНИТЕЛИ";"1.4G"
"0326";"ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ";"1.1C"
"0327";"ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ";"1.3C"
"0327";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ";"1.3C"
"0328";"ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ";"1.2C"
"0329";"ТОРПЕДЫ с разрывным зарядом";"1.1E"
"0330";"ТОРПЕДЫ с разрывным зарядом";"1.1F"
"0331";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП В";"1.5D"
"0332";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО БРИЗАНТНОЕ, ТИП Е";"1.5D"
"0333";"СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ";"1.1G"
"0334";"СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ";"1.2G"
"0335";"СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ";"1.3G"
"0336";"СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ";"1.4G"
"0337";"СРЕДСТВА ПИРОТЕХНИЧЕСКИЕ";"1.4S"
"0338";"ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ";"1.4C"
"0338";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ ХОЛОСТЫЕ";"1.4C"
"0339";"ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ";"1.4C"
"0339";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ";"1.4C"
"0340";"НИТРОЦЕЛЛЮЛОЗА сухая или увлажненная с массовой долей воды (или спирта) менее 25%";"1.1D"
"0341";"НИТРОЦЕЛЛЮЛОЗА немодифицированная или пластифицированная с массовой долей пластификатора менее 18%";"1.1D"
"0342";"НИТРОЦЕЛЛЮЛОЗА ПРОПИТАННАЯ с массовой долей спирта не менее 25%";"1.3C"
"0343";"НИТРОЦЕЛЛЮЛОЗА ПЛАСТИФИЦИРОВАННАЯ с массовой долей пластификатора не менее 18%";"1.3C"
"0344";"СНАРЯДЫ с разрывным зарядом";"1.4D"
"0345";"СНАРЯДЫ инертные с трассером";"1.4S"
"0346";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.2D"
"0347";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.4D"
