"UN";"Название";"Классификационный код"
"0388";"ТРИНИТРОТОЛУОЛА (ТНТ) И ГЕКСАНИТРОСТИЛЬБЕНА СМЕСЬ";"1.1D"
"0389";"ТРИНИТРОТОЛУОЛА (ТНТ) СМЕСЬ, СОДЕРЖАЩАЯ ТРИНИТРОБЕНЗОЛ И ГЕКСАНИТРОСТИЛЬБЕН";"1.1D"
"0390";"ТРИТОНАЛ";"1.1D"
"0391";"ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИНА (ГЕКСОГЕНА; ЦИКЛОНИТА; RDX) И ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИНА (НМХ; ОКТОГЕН) СМЕСЬ УВЛАЖНЕННАЯ с массовой долей воды не менее 15%";"1.1D"
"0391";"ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИНА И ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИНА СМЕСЬ ДЕСЕНСИБИЛИЗИРОВАННАЯ с массовой долей флегматизатора не менее 10%";"1.1D"
"0392";"ГЕКСАНИТРОСТИЛЬБЕН";"1.1D"
"0393";"ГЕКСАТОНАЛ";"1.1D"
"0394";"ТРИНИТРОРЕЗОРЦИН (КИСЛОТА СТИФНИНОВАЯ) УВЛАЖНЕННЫЙ с массовой долей воды или смеси спирта и воды не менее 20%";"1.1D"
"0395";"ДВИГАТЕЛИ РАКЕТНЫЕ ЖИДКОСТНЫЕ, ЗАПРАВЛЕННЫЕ ТОПЛИВОМ";"1.2J"
"0396";"ДВИГАТЕЛИ РАКЕТНЫЕ ЖИДКОСТНЫЕ, ЗАПРАВЛЕННЫЕ ТОПЛИВОМ";"1.3J"
"0397";"РАКЕТЫ, ЗАПРАВЛЕННЫЕ ЖИДКИМ ТОПЛИВОМ, с разрывным зарядом";"1.1J"
"0398";"РАКЕТЫ, ЗАПРАВЛЕННЫЕ ЖИДКИМ ТОПЛИВОМ, с разрывным зарядом";"1.2J"
"0399";"БОМБЫ С ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТЬЮ с разрывным зарядом";"1.1J"
"0400";"БОМБЫ С ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТЬЮ с разрывным зарядом";"1.2J"
"0401";"ДИПИКРИЛСУЛЬФИД сухой или увлажненный с массовой долей воды менее 10%";"1.1D"
"0402";"АММОНИЯ ПЕРХЛОРАТ";"1.1D"
"0403";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ";"1.4G"
"0404";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ";"1.4S"
"0405";"ПАТРОНЫ СИГНАЛЬНЫЕ";"1.4S"
"0406";"ДИНИТРОЗОБЕНЗОЛ";"1.3C"
"0407";"КИСЛОТА ТЕТРАЗОЛ-1-УКСУСНАЯ";"1.4C"
"0408";"ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами";"1.1D"
"0410";"ТРУБКИ ДЕТОНАЦИОННЫЕ с защитными элементами";"1.4D"
"0411";"ПЕНТАЭРИТРИТТЕТРАНИТРАТ (ПЕНТАЭРИТРОЛТЕТРАНИТРАТ; ПЭТН) с массовой долей парафина не менее 7%";"1.1D"
"0412";"ПАТРОНЫ ДЛЯ ОРУЖИЯ с разрывным зарядом";"1.4E"
"0413";"ПАТРОНЫ ДЛЯ ОРУЖИЯ ХОЛОСТЫЕ";"1.2C"
"0414";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ ДЛЯ ОРУДИЙ";"1.2C"
"0415";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ";"1.2C"
"0417";"ПАТРОНЫ ДЛЯ ОРУЖИЯ С ИНЕРТНЫМ СНАРЯДОМ";"1.3C"
"0417";"ПАТРОНЫ ДЛЯ СТРЕЛКОВОГО ОРУЖИЯ";"1.3C"
"0418";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ";"1.1G"
"0419";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ, ЗАПУСКАЕМЫЕ С ЗЕМЛИ";"1.2G"
"0420";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ";"1.1G"
"0421";"РАКЕТЫ ОСВЕТИТЕЛЬНЫЕ АВИАЦИОННЫЕ";"1.2G"
"0424";"СНАРЯДЫ инертные с трассером";"1.3G"
"0425";"СНАРЯДЫ инертные с трассером";"1.4G"
"0426";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.2F"
"0427";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.4F"
"0428";"ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей";"1.1G"
"0429";"ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей";"1.2G"
"0430";"ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей";"1.3G"
"0431";"ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей";"1.4G"
"0432";"ИЗДЕЛИЯ ПИРОТЕХНИЧЕСКИЕ для технических целей";"1.4S"
"0433";"ПОРОХ В БРИКЕТАХ (ПАСТА ПОРОХОВАЯ), УВЛАЖНЕННЫЙ с массовой долей спирта не менее 17%";"1.1C"
"0434";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.2G"
"0435";"СНАРЯДЫ с разрывным или вышибным зарядом";"1.4G"
"0436";"РАКЕТЫ с вышибным зарядом";"1.2C"
"0437";"РАКЕТЫ с вышибным зарядом";"1.3C"
"0438";"РАКЕТЫ с вышибным зарядом";"1.4C"
"0440";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора";"1.4D"
"0441";"ЗАРЯДЫ КУМУЛЯТИВНЫЕ без детонатора";"1.4S"
"0443";"ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора";"1.2D"
"0444";"ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора";"1.4D"
"0445";"ЗАРЯДЫ ВЗРЫВЧАТЫЕ ПРОМЫШЛЕННЫЕ без детонатора";"1.4S"
"0446";"ГИЛЬЗЫ СГОРАЕМЫЕ ПУСТЫЕ БЕЗ КАПСЮЛЯ";"1.4C"
"0447";"ГИЛЬЗЫ СГОРАЕМЫЕ ПУСТЫЕ БЕЗ КАПСЮЛЯ";"1.3C"
"0448";"КИСЛОТА 5-МЕРКАПТОТЕТРАЗОЛ-1-УКСУСНАЯ";"1.4C"
"0449";"ТОРПЕДЫ С ЖИДКИМ ТОПЛИВОМ, снаряженные или не снаряженные разрывным зарядом";"1.1J"
"0450";"ТОРПЕДЫ С ЖИДКИМ ТОПЛИВОМ с инертной головкой";"1.3J"
"0451";"ТОРПЕДЫ с разрывным зарядом";"1.1D"
"0452";"ГРАНАТЫ ПРАКТИЧЕСКИЕ ручные или ружейные";"1.4G"
"0453";"РАКЕТЫ ТРОСОМЕТАТЕЛЬНЫЕ";"1.4G"
"0454";"ВОСПЛАМЕНИТЕЛИ";"1.4S"
"0455";"ДЕТОНАТОРЫ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.4S"
"0456";"ДЕТОНАТОРЫ ЭЛЕКТРИЧЕ СКИЕ для взрывных работ";"1.4S"
"0457";"ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ";"1.1D"
"0458";"ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ";"1.2D"
"0459";"ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ";"1.4D"
"0460";"ЗАРЯДЫ РАЗРЫВНЫЕ ПЛАСТИФИЦИРОВАННЫЕ";"1.4S"
"0461";"ЭЛЕМЕНТЫ ЦЕПИ ВЗРЫВАНИЯ, Н.У.К.";"1.1B"
"0462";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.1C"
"0463";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.1D"
"0464";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.1E"
"0465";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.1F"
"0466";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.2C"
"0467";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.2D"
"0468";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.2E"
"0469";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.2F"
"0470";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.3C"
"0471";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.4E"
"0472";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ, Н.У.К.";"1.4F"
"0473";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.1A"
"0474";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.1C"
"0475";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.1D"
"0476";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.1G"
"0477";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.3C"
"0478";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.3G"
"0479";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.4C"
"0480";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.4D"
"0481";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА, Н.У.К.";"1.4S"
"0482";"ВЗРЫВЧАТЫЕ ВЕЩЕСТВА ОЧЕНЬ НИЗКОЙ ЧУВСТВИТЕЛЬНОСТИ (ВЗРЫВЧАТЫЕ ВЕЩЕСТВА ОНЧ), Н.У.К.";"1.5D"
"0483";"ЦИКЛОТРИМЕТИЛЕНТРИНИТРАМИН (ГЕКСОГЕН; ЦИКЛОНИТ; RDX) ДЕСЕНСИБИЛИЗИРОВАННЫЙ";"1.1D"
"0484";"ЦИКЛОТЕТРАМЕТИЛЕНТЕТРАНИТРАМИН (ОКТОГЕН; НМХ) ДЕСЕНСИБИЛИЗИРОВАННЫЙ";"1.1D"
"0485";"ВЕЩЕСТВА ВЗРЫВЧАТЫЕ, Н.У.К.";"1.4G"
"0486";"ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ ЧРЕЗВЫЧАЙНО НИЗКОЙ ЧУВСТВИТЕЛЬНОСТИ (ВЗРЫВЧАТЫЕ ИЗДЕЛИЯ ЧНЧ)";"1.6N"
"0487";"СИГНАЛЫ ДЫМОВЫЕ";"1.3G"
"0488";"БОЕПРИПАСЫ ПРАКТИЧЕСКИЕ";"1.3G"
"0489";"ДИНИТРОГЛИКОЛЬУРИЛ (ДИНГУ)";"1.1D"
"0490";"НИТРОТРИАЗОЛОН (НТО)";"1.1D"
"0491";"ЗАРЯДЫ МЕТАТЕЛЬНЫЕ";"1.4C"
"0492";"ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ";"1.3G"
"0493";"ПЕТАРДЫ ЖЕЛЕЗНОДОРОЖНЫЕ ВЗРЫВЧАТЫЕ";"1.4G"
"0494";"СНАРЯДЫ ПЕРФОРАТОРНЫЕ для нефтескважин без детонатора";"1.4D"
"0495";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ЖИДКОЕ";"1.3C"
"0496";"ОКТОНАЛ";"1.1D"
"0497";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ЖИДКОЕ";"1.1C"
"0498";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ";"1.1C"
"0499";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ";"1.3C"
"0500";"СБОРКИ ДЕТОНАТОРОВ НЕЭЛЕКТРИЧЕСКИЕ для взрывных работ";"1.4S"
"0501";"ВЗРЫВЧАТОЕ ВЕЩЕСТВО МЕТАТЕЛЬНОЕ ТВЕРДОЕ";"1.4C"
"0502";"РАКЕТЫ с инертной головкой";"1.2C"
"0503";"УСТРОЙСТВА БЕЗОПАСНОСТИ ПИРОТЕХНИЧЕСКИЕ";"1.4G"
"0504";"1Н-ТЕТРАЗОЛ";"1.1D"
"0505";"СИГНАЛЫ БЕДСТВИЯ судовые";"1.4G"
"0506";"СИГНАЛЫ БЕДСТВИЯ судовые";"1.4S"
"0507";"СИГНАЛЫ ДЫМОВЫЕ";"1.4S"
"0508";"1-ГИДРОКСИБЕНЗОТРИАЗОЛ БЕЗВОДНЫЙ, сухой или увлажненный, с массовой долей воды менее 20%";"1.3C"
"0509";"ПОРОХ БЕЗДЫМНЫЙ";"1.4C"
"0510";"ДВИГАТЕЛИ РАКЕТНЫЕ";"1.4C"
"1169";"ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (давление паров при 50°С более 110 кПа)";"F1"
"1169";"ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (давление паров при 50°С не более 110 кПа)";"F1"
"1169";"ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ";"F1"
"1169";"ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С более 110 кПа)";"F1"
"1169";"ЭКСТРАКТЫ АРОМАТИЧЕСКИЕ ЖИДКИЕ (имеющие температуру вспышки ниже 23°С и вязкие согласно пункту 2.2.3.1.4) (давление паров при 50°С не более 110 кПа)";"F1"
"1327";"Сено, Полова или Солома";"F1"
"1372";"Волокна животного происхождения или волокна растительного происхождения сожженные, влажные или сырые";"S2"
"1387";"Шерсти отходы влажные";"S2"
"1798";"КИСЛОТЫ АЗОТНОЙ И КИСЛОТЫ ХЛОРИСТОВОДОРОДНОЙ СМЕСЬ";"COT"
"1845";"Углерода диоксид твердый (лед сухой)";"M11"
"1856";"Ветошь промасленная";"S2"
"1857";"Текстиля отходы влажные";"S2"
"2071";"Удобрение на основе нитрата аммония, однородные азотно -фосфатные, азотно-калийные или азотно-фосфатно-калийные смеси, содержащие не более 70% нитрата аммония и не более 0,4% общего количества горючего/органического материала, расчитываемого по углероду, или не более 45% нитрата аммония и неограниченное количество горючего материала";"M11"
"2186";"ВОДОРОД ХЛОРИСТЫЙ ОХЛАЖДЕННЫЙ ЖИДКИЙ";"3TC"
"2216";"Мука рыбная (рыбные отходы) стабилизированная";"M11"
"2249";"ЭФИР ДИХЛОРДИМЕТИЛОВЫЙ СИММЕТРИЧНЫЙ";"T1"
"2421";"АЗОТА ТРИОКСИД";"2TOC"
"2455";"МЕТИЛНИТРИТ";"2A"
"2807";"Материал намагниченный";"M11"
"2812";"Натрия алюминат твердый";"C6"
"2908";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ПОРОЖНИЙ УПАКОВОЧНЫЙ КОМПЛЕКТ";""
"2909";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ПРИРОДНОГО УРАНА";""
"2909";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ОБЕДНЕННОГО УРАНА";""
"2909";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ, ИЗГОТОВЛЕННЫЕ ИЗ ПРИРОДНОГО ТОРИЯ";""
"2910";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ОГРАНИЧЕННОЕ КОЛИЧЕСТВО МАТЕРИАЛА";""
"2911";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ПРИБОРЫ";""
"2911";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОСВОБОЖДЕННАЯ УПАКОВКА - ИЗДЕЛИЯ";""
"2912";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-I), неделящийся или делящийся-освобожденный";""
"2913";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-I или SCO-II), неделящийся или делящийся-освобожденный";""
"2915";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, не особого вида, неделящийся или делящийся-освобожденный";""
"2916";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА B(U), неделящийся или делящийся-освобожденный";""
"2917";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА B(M), неделящийся или делящийся-освобожденный";""
"2919";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ТРАНСПОРТИРУЕМЫЙ В СПЕЦИАЛЬНЫХ УСЛОВИЯХ, неделящийся или делящийся-освобожденный";""
"2977";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УРАНА ГЕКСАФТОРИД, ДЕЛЯЩИЙСЯ";""
"2978";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УРАНА ГЕКСАФТОРИД, неделящийся или делящийся-освобожденный";""
"3097";"ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ОКИСЛЯЮЩЕЕ, Н.У.К.";"FO"
"3100";"ОКИСЛЯЮЩЕЕ ТВЕРДОЕ ВЕЩЕСТВО САМОНАГРЕВАЮЩЕЕСЯ, Н.У.К.";"OS"
"3111";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА В ЖИДКИЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3112";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА В ТВЕРДЫЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3113";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА С ЖИДКИЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3114";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА С ТВЕРДЫЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3115";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА D ЖИДКИЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3116";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА D ТВЕРДЫЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3117";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА E ЖИДКИЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3118";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА Е ТВЕРДЫЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3119";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА F ЖИДКИЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3120";"ОРГАНИЧЕСКИЙ ПЕРОКСИД ТИПА F ТВЕРДЫЙ С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"P2"
"3121";"ОКИСЛЯЮЩЕЕ ТВЕРДОЕ ВЕЩЕСТВО, РЕАГИРУЮЩЕЕ С ВОДОЙ, Н.У.К.";"OW"
"3127";"САМОНАГРЕВАЮЩЕЕСЯ ТВЕРДОЕ ВЕЩЕСТВО ОКИСЛЯЮЩЕЕ, Н.У.К.";"SO"
"3132";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"WF2"
"3132";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"WF2"
"3132";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"WF2"
"3133";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО ОКИСЛЯЮЩЕЕ, Н.У.К";"WO"
"3135";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО САМОНАГРЕВАЮЩЕЕСЯ, Н.У.К.";"WS"
"3135";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО САМОНАГРЕВАЮЩЕЕСЯ, Н.У.К.";"WS"
"3135";"РЕАГИРУЮЩЕЕ С ВОДОЙ ТВЕРДОЕ ВЕЩЕСТВО САМОНАГРЕВАЮЩЕЕСЯ, Н.У.К.";"WS"
"3137";"ОКИСЛЯЮЩЕЕ ТВЕРДОЕ ВЕЩЕСТВО, ЛЕГКОВОСПЛАМЕНЯЮЩЕЕСЯ, Н.У.К.";"OF"
"3166";"ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ НА ЛЕГКОВОСПЛАМЕНЯЮЩЕМСЯ ГАЗЕ";"M11"
"3166";"ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ НА ЛЕГКОВОСПЛАМЕНЯЮЩЕЙСЯ ЖИДКОСТИ";"M11"
"3166";"ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ НА ТОПЛИВНЫХ ЭЛЕМЕНТАХ, СОДЕРЖАЩИХ ЛЕГКОВОСПЛАМЕНЯЮЩИЙСЯ ГАЗ";"M11"
"3166";"ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ НА ТОПЛИВНЫХ ЭЛЕМЕНТАХ, СОДЕРЖАЩИХ ЛЕГКОВОСПЛАМЕНЯЮЩУЮСЯ ЖИДКОСТЬ";"M11"
"3171";"ТРАНСПОРТНОЕ СРЕДСТВО, РАБОТАЮЩЕЕ НА АККУМУЛЯТОРНЫХ БАТАРЕЯХ";"M11"
"3171";"ОБОРУДОВАНИЕ, РАБОТАЮЩЕЕ НА АККУМУЛЯТОРНЫХ БАТАРЕЯХ";"M11"
"3231";"САМОРЕАКТИВНАЯ ЖИДКОСТЬ ТИПА B С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3232";"САМОРЕАКТИВНОЕ ТВЕРДОЕ ВЕЩЕСТВО ТИПА B С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3233";"САМОРЕАКТИВНАЯ ЖИДКОСТЬ ТИПА С С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3234";"САМОРЕАКТИВНОЕ ТВЕРДОЕ ВЕЩЕСТВО ТИПА C С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3235";"САМОРЕАКТИВНАЯ ЖИДКОСТЬ ТИПА D С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3236";"САМОРЕАКТИВНОЕ ТВЕРДОЕ ВЕЩЕСТВО ТИПА D С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3237";"САМОРЕАКТИВНАЯ ЖИДКОСТЬ ТИПА E С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3238";"САМОРЕАКТИВНОЕ ТВЕРДОЕ ВЕЩЕСТВО ТИПА E С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3239";"САМОРЕАКТИВНАЯ ЖИДКОСТЬ ТИПА F С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3240";"САМОРЕАКТИВНОЕ ТВЕРДОЕ ВЕЩЕСТВО ТИПА F С РЕГУЛИРУЕМОЙ ТЕМПЕРАТУРОЙ";"SR2"
"3255";"трет-БУТИЛГИПОХЛОРИТ";"SC1"
"3267";"КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"C7"
"3267";"КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"C7"
"3267";"КОРРОЗИОННАЯ ЖИДКОСТЬ ЩЕЛОЧНАЯ ОРГАНИЧЕСКАЯ, Н.У.К.";"C7"
"3287";"ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"T4"
"3287";"ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"T4"
"3287";"ТОКСИЧНАЯ ЖИДКОСТЬ НЕОРГАНИЧЕСКАЯ, Н.У.К.";"T4"
"3321";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (НУА-II), неделящийся или делящийся-освобожденный";""
"3322";"Радиоактивный МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-III), неделящийся или делящийся-освобожденный";""
"3323";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА С, неделящийся или делящийся-освобожденный";""
"3324";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-II), ДЕЛЯЩИЙСЯ";""
"3325";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, НИЗКАЯ УДЕЛЬНАЯ АКТИВНОСТЬ (LSA-III), ДЕЛЯЩИЙСЯ";""
"3326";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-I), ДЕЛЯЩИЙСЯ";""
"3326";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, ОБЪЕКТЫ С ПОВЕРХНОСТНЫМ РАДИОАКТИВНЫМ ЗАГРЯЗНЕНИЕМ (SCO-II), ДЕЛЯЩИЙСЯ";""
"3327";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА А, ДЕЛЯЩИЙСЯ, не особого вида";""
"3328";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА Б(И), ДЕЛЯЩИЙСЯ";""
"3329";"РАДИОАКТИВНЫЙ МАТЕРИАЛ, УПАКОВКА ТИПА В(М), ДЕЛЯЩИЙСЯ";""
